ID;PNAME;url;lead;description;pkey;pcounter;assignetype;avatar;originalkey;projecttype
15100;TestTechs;;b002179;;TTECH;444;3;10324;TTECH;software
15101;NAM-PartnerDB;;b002067;;NAMDB;71;3;10324;NAMDB;software
15102;Briefadministration STV / IB_STV;;b000905;;DOKUMENSTV;4786;3;10324;DOKUMENSTV;software
15103;AKAB Anforderungsmanagement;;b000201;;AMAKAB;1625;3;10330;AMAKAB;software
15104;Partner;;b000664;;PRODPARTNR;748;3;10324;PRODPARTNR;software
15201;NBB-DL;;b000137;;NBBDL;11;3;10324;NBBDL;software
15300;AE-Ausbildung;;b002033;In diesem Projekt werden sämtliche Projekte der Abteilung AE-Ausbildung verwaltet.;AEAUSB;796;3;17601;AEAUSB;software
15301;BI/Analytics-CC (Projekt beendet);;b003069;;BIAC;352;3;10324;BIACC;software
15401;0427 SCHDN 2.0;;b001411;;SCHDN20;13;3;10324;SCHDN20;software
15500;UI-Kit;;b001942;;UIKIT;20;3;10324;UIKIT;software
15600;AE Leben-Kranken JourFixe;;b002224;;AELKJF;22;2;10324;AELKJF;business
15700;Cloudsysteme (Projekt beendet) (archiviert);;b003069;;CLOUDSYS;416;3;18500;CLOUDSYS;software
15800;0360 Kooperation humanoo (Projekt beendet);;b001051;;KOHUM2021;27;3;10324;KOHUM2021;software
15801;0389 Neue Produkte Kranken;;b001051;;NPK2021;1430;3;10324;NPK2021;software
15802;0390 HOST-Ablösung von HR-Prozessen (Projekt beendet);;b000308;;HOSTABHR;5;3;10324;HOSTABHR;software
15803;0395 Neue Produkte Leben 2021/2022 (Projekt beendet);;b000424;;NPL2021;3172;3;10324;NPL2021;software
15804;0396 Neue Produkte SHUKRS;;b001051;;NPS2021;3152;3;10325;NPS2021;software
15805;0397 Akkumulations- und Risikoidentifikationssystem (Projekt beendet);;b000861;;AKKRISKID;0;3;10209;AKKRISKID;software
15806;0403 Basisentwicklung E-Mail Marketing (Projekt beendet);;b001051;;BEM2021;48;3;10324;BEM2021;software
15807;0404 Einführung eines Endkunden CRM;;b003069;;ECRM2021;1024;3;10324;ECRM2021;software
15808;0406 1:1 CFS;;b001051;;CFS2021;64;3;10324;CFS2021;software
15809;0408 bAV-Portale;;b000424;;BAV2021;255;3;10325;BAV2021;software
15810;0411 ZEPA (Zentrales physisches Archiv) (Projekt beendet);;b000895;;ZEPA;5;3;10324;ZEPA;software
15811;0419 SAP Migration BW to HANA (Projekt beendet);;b002008;;SAPBWHANA;72;3;10324;SAPBWHANA;software
15812;0422 Datenversorgung Portale (Projekt beendet);;b000424;;DVP2021;23;3;10324;DVP2021;software
15813;0432 Targenio Releasewechsel (Projekt beendet);;b001671;;TARGREL;2;3;10324;TARGREL;software
15814;0434 DUBI Stufe 4 (Projekt beendet);;b001411;;DUBI4;5;3;10324;DUBI4;software
15815;0435 LV und Steuer 2.0;;b000124;;LVST2021;2895;3;10324;LVST2021;software
15900;0426 Verschmelzung NBL-NLV;;b003069;;NBLNLV;35;3;10324;NBLNLV;software
15901;0385 KLuB (Projekt beendet);;b001064;;NBK2021;732;3;10324;NBK2021;software
15902;0391 INSL;;b001411;;BOSS2021;4;3;10324;BOSS2021;software
15903;0393 VertriebsCockpit;;b001051;;VCP2021;288;3;10324;VCP2021;software
15904;0401 NDS-Web (Projekt beendet);;b000424;;NDS2021;8;3;10324;NDS2021;software
15905;0407 Kundenzentrierung (Projekt beendet);;b001869;;KN2021;834;3;19804;KN2021;software
