source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
76754;Issue;14318;Component;IssueComponent;
76755;Issue;15500;Version;IssueVersion;
76755;Issue;15515;Version;IssueFixVersion;
76757;Issue;14406;Component;IssueComponent;
76757;Issue;14514;Component;IssueComponent;
76758;Issue;14101;Component;IssueComponent;
76759;Issue;14317;Component;IssueComponent;
76759;Issue;14318;Component;IssueComponent;
76762;Issue;18030;Component;IssueComponent;
76764;Issue;13616;Component;IssueComponent;
76764;Issue;14340;Component;IssueComponent;
76764;Issue;14640;Version;IssueFixVersion;
76764;Issue;14640;Version;IssueVersion;
76768;Issue;12511;Component;IssueComponent;
76768;Issue;15433;Version;IssueVersion;
76768;Issue;15607;Version;IssueFixVersion;
76769;Issue;14912;Version;IssueFixVersion;
76770;Issue;13616;Component;IssueComponent;
76770;Issue;14640;Version;IssueFixVersion;
76772;Issue;14912;Version;IssueFixVersion;
76775;Issue;13616;Component;IssueComponent;
76775;Issue;14640;Version;IssueFixVersion;
76775;Issue;14640;Version;IssueVersion;
76776;Issue;16474;Version;IssueFixVersion;
76776;Issue;16474;Version;IssueVersion;
76776;Issue;16533;Version;IssueFixVersion;
76786;Issue;12516;Component;IssueComponent;
76786;Issue;15407;Version;IssueFixVersion;
76786;Issue;15433;Version;IssueVersion;
76786;Issue;15521;Version;IssueFixVersion;
76787;Issue;13616;Component;IssueComponent;
76787;Issue;14640;Version;IssueFixVersion;
76787;Issue;14640;Version;IssueVersion;
76788;Issue;12511;Component;IssueComponent;
76788;Issue;15433;Version;IssueVersion;
76788;Issue;15607;Version;IssueFixVersion;
76791;Issue;14321;Component;IssueComponent;
76791;Issue;15433;Version;IssueVersion;
76791;Issue;15607;Version;IssueFixVersion;
76794;Issue;13616;Component;IssueComponent;
